priority,equipment_id,equipment_category,finding,evidence,recommended_action,responsible_role,target_date,status
MEDIUM,SEMUA UNIT (KEND_OPS),KEND_OPS,"Selisih rekonsiliasi signifikan pada kategori KEND_OPS untuk bulan: Maret 2025, April 2025.","n_bulan_bermasalah=2, max_diff_pct=8.5%",Verifikasi pencatatan pengisian solar kategori ini pada bulan terkait sebelum dipakai untuk kesimpulan operasional.,Fuel Administration,2026-08-06,OPEN
MEDIUM,SEMUA UNIT (RTGC),RTGC,"Selisih rekonsiliasi signifikan pada kategori RTGC untuk bulan: Maret 2025, April 2025.","n_bulan_bermasalah=2, max_diff_pct=8.2%",Verifikasi pencatatan pengisian solar kategori ini pada bulan terkait sebelum dipakai untuk kesimpulan operasional.,Fuel Administration,2026-08-06,OPEN
MEDIUM,SEMUA UNIT (SUPPORT),SUPPORT,"Selisih rekonsiliasi signifikan pada kategori SUPPORT untuk bulan: Maret 2025, April 2025.","n_bulan_bermasalah=2, max_diff_pct=10.6%",Verifikasi pencatatan pengisian solar kategori ini pada bulan terkait sebelum dipakai untuk kesimpulan operasional.,Fuel Administration,2026-08-06,OPEN
MEDIUM,SL 03,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=39, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,SL 03,SUPPORT,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=100.0, last_change_point=2025-10-02 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,SL 04,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=7, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,SL 05,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=9, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,SL 10,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=39, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,SL 24,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=23, data_completeness=45.2%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
LOW,118,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,132,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=83.3, data_completeness=16.7%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,138,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=57.1, data_completeness=42.9%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,145,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=52.4, data_completeness=47.6%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,146,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,148,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=76.2, data_completeness=23.8%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,149,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,150,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=71.4, data_completeness=28.6%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,152,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,154,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=85.7, data_completeness=14.3%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,172,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=50.0, data_completeness=50.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,173,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=50.0, data_completeness=50.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,174,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,176,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,177,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,178,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=76.2, data_completeness=23.8%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,182,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,184,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=61.9, data_completeness=38.1%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,186,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,188,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,190,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=92.9, data_completeness=7.1%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,194,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=52.4, data_completeness=47.6%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,198,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=69.0, data_completeness=31.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,199,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=50.0, data_completeness=50.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,200,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,208,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=90.5, data_completeness=9.5%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,210,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=66.7, data_completeness=33.3%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,23,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,93,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,98,HEAD_TRUCK,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 1133 RYD,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=83.3, data_completeness=16.7%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 1557 CZQ,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 1975 HKN,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=52.4, data_completeness=47.6%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 8935 CY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 8984 CY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9015 RFP,KEND_OPS,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=49.7 L vs median kategori 32.2 L (rasio 1.54x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,B 9015 RFP,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9080 VE,KEND_OPS,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=51.8 L vs median kategori 32.2 L (rasio 1.61x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,B 9080 VE,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=50.0, data_completeness=50.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9118 SO,KEND_OPS,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=62.4 L vs median kategori 32.2 L (rasio 1.94x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,B 9118 SO,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9118 SQ,KEND_OPS,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=64.7 L vs median kategori 32.2 L (rasio 2.01x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,B 9118 SQ,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9150 TBD,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=90.5, data_completeness=9.5%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9172 CBA,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=97.6, data_completeness=2.4%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9269 UWM,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=52.4, data_completeness=47.6%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9301 UAV,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=78.6, data_completeness=21.4%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9456 TVC,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9498 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9537 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=90.5, data_completeness=9.5%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9578 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9580 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=92.9, data_completeness=7.1%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9584 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9586 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9594 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9615 TVC,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=66.7, data_completeness=33.3%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9619 TVC,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=50.0, data_completeness=50.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9623 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9625 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9627 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9629 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=83.3, data_completeness=16.7%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9631 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9682 BAY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=57.1, data_completeness=42.9%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9786 BAZ,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=76.2, data_completeness=23.8%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9799 BAZ,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=64.3, data_completeness=35.7%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9801 BAZ,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9870 CAJ,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9872 CAJ,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=78.6, data_completeness=21.4%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,B 9963 CAJ,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=50.0, data_completeness=50.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,FRK 17,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=90.5, data_completeness=9.5%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,FRK 19,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=57.1, data_completeness=42.9%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,FRK 20,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,FRK 22,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,FRK 26,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=88.1, data_completeness=11.9%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,FRK 28,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=52.4, data_completeness=47.6%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,FRK 29,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,FRK 30,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,FRK 31,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,FRK 32,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,GALMON 04,KEND_OPS,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=57.8 L vs median kategori 32.2 L (rasio 1.79x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,GALMON 08,KEND_OPS,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=65.9 L vs median kategori 32.2 L (rasio 2.04x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,GALMON 08,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,KT 8934 CY,KEND_OPS,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=69.0, data_completeness=31.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,MODUL 1,MODUL,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=73.8, data_completeness=26.2%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,Modul ST 18,MODUL,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=24.6 L vs median kategori 2.8 L (rasio 8.86x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,RS 01,SUPPORT,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=147.7 L vs median kategori 32.5 L (rasio 4.54x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,RS 01,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=54.8, data_completeness=45.2%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,RS 02,SUPPORT,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=141.0 L vs median kategori 32.5 L (rasio 4.33x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
